px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
442.353,80.785,-244.988,-120.395,-63.605,-65.437,-11.974,-3.315,9.271,-0.2,0.243,-2.21,655.255,68.799,-272.662,0.675,12.999,-3.156
442.349,80.93,-245.738,-120.063,-63.659,-65.724,-10.741,-5.24,8.276,-0.396,0.318,-2.526,655.328,68.989,-272.832,0.696,12.843,-3.14
442.198,80.971,-246.239,-119.859,-63.699,-65.916,-9.727,-5.879,9.053,-0.456,0.047,-2.62,655.223,68.997,-272.967,0.702,12.744,-3.148
442.152,80.973,-247.061,-119.564,-63.755,-66.202,-9.329,-5.391,10.053,-0.39,-0.379,-2.537,655.237,68.917,-273.26,0.712,12.603,-3.168
441.992,80.99,-247.58,-119.349,-63.803,-66.412,-9.806,-5.569,11.006,-0.338,-0.71,-2.506,655.122,68.867,-273.383,0.712,12.496,-3.186
441.999,81.015,-248.384,-118.981,-63.867,-66.759,-11.434,-5.366,11.398,-0.292,-0.772,-2.461,655.203,68.834,-273.538,0.727,12.322,-3.198
441.92,81.071,-248.881,-118.705,-63.922,-67.014,-12.375,-5.78,11.076,-0.32,-0.649,-2.491,655.18,68.863,-273.54,0.732,12.189,-3.204
441.954,81.029,-249.664,-118.31,-63.99,-67.385,-13.032,-5.565,10.907,-0.282,-0.501,-2.442,655.29,68.763,-273.631,0.748,12.003,-3.217
441.914,81.014,-250.127,-118.044,-64.047,-67.637,-14.365,-5.035,10.852,-0.165,-0.413,-2.366,655.301,68.698,-273.608,0.747,11.873,-3.23
442.007,80.993,-250.88,-117.665,-64.107,-67.994,-17.098,-4.626,11.598,-0.075,-0.378,-2.317,655.461,68.619,-273.708,0.764,11.698,-3.243
441.947,80.994,-251.273,-117.422,-64.151,-68.228,-19.064,-4.267,11.949,0.02,-0.29,-2.246,655.444,68.562,-273.672,0.769,11.583,-3.257
441.966,81.028,-251.965,-117.04,-64.202,-68.577,-19.148,-4.953,11.372,0.01,-0.06,-2.311,655.528,68.585,-273.721,0.794,11.411,-3.257
